RIC,Date,Revenue,Net Income Incl Extra Before Distributions,Total Assets,Total Debt,Enterprise Value (Daily Time Series),Company Market Cap,Full-Time Employees,Free Float (Percent),CO2 Equivalent Emissions Total,"CO2 Equivalent Emissions Direct, Scope 1","CO2 Equivalent Emissions Indirect, Scope 2","CO2 Equivalent Emissions Indirect, Scope 3",CO2 Estimation Method,Total CO2 Equivalent Emissions To Revenues USD in million,Energy Use Total,Water Withdrawal Total,Waste Total,Waste Recycled Total,Hazardous Waste,Non-Hazardous Waste,Environmental Pillar Score,Emissions Score,Resource Use Score,Environmental Innovation Score,ESG Score,ESG Combined Score,ESG Reporting Scope,GRI Report Guidelines,ESG Period Last Update Date
SYN0000.X,2025-12-31,42760053574.25765,5042239470.494756,32057344933.353954,12519799969.540487,18017679618.587883,10455893361.765444,66644.0,23.70284988995143,2122632.972596367,998651.1814142622,1123981.7911821045,211627674.5693776,,49.64055924088532,,,22911.366601605092,18337.192875435736,1135.9370426706091,21775.429558934484,67.0962559704484,96.96109570085034,67.02318087266839,15.175495889256641,46.85647361365993,46.85647361365993,100.0,,2025-11-30
SYN0000.X,2024-12-31,40084550694.68775,4726745800.699372,30051512117.18113,11736434232.826107,16890310738.682621,9801666566.906595,66644.0,23.70284988995143,2122207.6177529003,855470.6231699547,1266736.9945829457,211585266.4575883,,52.94328066484099,,,22906.77538829585,19829.054646989327,4052.3408572353746,18854.434531060477,67.0962559704484,96.96109570085034,67.02318087266839,15.175495889256641,46.85647361365993,46.85647361365993,100.0,,2024-11-30
SYN0000.X,2023-12-31,37970624329.65653,4477472891.418062,28466694957.636837,11117493585.463083,15999571724.142466,9284759154.501076,66644.0,23.70284988995143,2172970.7581991213,1225096.4832936542,947874.2749054672,216646379.47390595,Reported,57.22768051780352,,,23454.704745668227,10618.568474023503,1839.2391607869101,21615.465584881316,67.0962559704484,96.96109570085034,67.02318087266839,15.175495889256641,46.85647361365993,46.85647361365993,100.0,,2023-11-30
SYN0000.X,,,4295445355.834941,27309407698.730846,10665522125.601921,15349123875.108438,8907295824.546356,66644.0,23.70284988995143,2107139.4592478215,517967.86225607176,1589171.5969917497,210082962.76889545,,,,,22744.132054296064,13584.040095196995,1722.510680886729,21021.621373409336,67.0962559704484,96.96109570085034,67.02318087266839,15.175495889256641,46.85647361365993,46.85647361365993,100.0,,2022-11-30
SYN0000.X,2021-12-31,33953485760.52651,4003774358.357562,25455033699.26067,9941307703.280003,14306881709.234926,8302469166.830317,66644.0,23.70284988995143,2062903.7156891779,550726.1874608216,1512177.5282283563,205672634.81157917,Reported,60.75675794346451,,,22266.65839273931,19784.350308899582,9303.142202575633,12963.516190163678,67.0962559704484,96.96109570085034,67.02318087266839,15.175495889256641,46.85647361365993,46.85647361365993,100.0,,2021-11-30
SYN0001.X,2025-12-31,884833768.830916,-84688196.9149818,3421759476.0988474,96720521.84954745,7746965901.844346,4042626083.271697,8947.0,100.0,2307.0298636850343,654.6985496317013,1652.331314053333,3229450.5076463963,Reported,2.607303139812567,470094.34237800306,789137.543358927,501.7740250401243,339.01124392107636,181.9990822451348,319.7749427949895,39.95336185414867,45.33758093556092,9.499088980180389,52.85194883584791,44.5848556738132,44.31967949192763,100.0,,2025-11-30
SYN0001.X,2024-12-31,832972549.1883849,-79724515.22012427,3221205851.2204266,91051610.4627148,7292906490.516066,3805682685.966477,8947.0,100.0,2374.4734701441594,1645.1116777135762,729.3617924305833,3323860.117398488,,2.8506023067119695,483837.059074076,233803.24964747444,516.4428641431266,479.21508472423966,161.4219634824127,355.0209006607139,39.95336185414867,45.33758093556092,9.499088980180389,52.85194883584791,44.5848556738132,44.31967949192763,100.0,,2024-11-30
SYN0001.X,2023-12-31,818905638.4866093,-78378159.16380939,3166807401.829381,89513966.90545733,7169746772.397567,3741413823.13907,8947.0,100.0,3058.275811918878,2295.926182453548,762.3496294653299,4281067.414336906,,3.7345887831115316,623172.7552577691,441006.8770491504,665.1684002816596,516.2959623028447,36.99640589347518,628.1719943881844,39.95336185414867,45.33758093556092,9.499088980180389,52.85194883584791,44.5848556738132,44.31967949192763,100.0,,2023-11-30
SYN0001.X,2022-12-31,738395049.4113883,-70672421.81344566,2855463191.4265327,80713414.23209086,6464854158.35638,3373577265.7650337,8947.0,100.0,3029.013535190901,1101.5420217100889,1927.4715134808123,4240105.190170849,,4.102158509331122,617210.0969708284,129259.42816485233,658.80391813656,562.0540432595335,63.648706108349344,595.1552120282107,39.95336185414867,45.33758093556092,9.499088980180389,52.85194883584791,44.5848556738132,44.31967949192763,100.0,,2022-11-30
SYN0001.X,2021-12-31,706655219.6236538,-67634575.55373162,2732721420.9700994,77243957.02032374,6186963115.137268,3228564418.947454,8947.0,100.0,2662.1703731557914,1592.650302880844,1069.5200702749473,3726586.9845726946,Median,3.767283251050766,542459.9180818108,231322.8752903285,579.0163207281834,571.368297922057,25.3709280157535,553.6453927124298,39.95336185414867,45.33758093556092,9.499088980180389,52.85194883584791,44.5848556738132,44.31967949192763,100.0,,2021-11-30
SYN0002.X,2025-12-31,100156758.46140482,-195866792.12666973,1424696802.1054058,648887522.5979751,1282319546.1990733,1462224816.432417,1437.0,82.48350835244314,46.432705340876765,36.242828933564965,10.189876407311797,898.7017883845152,,0.4636003206790034,1231.1574118039305,961.44409689005,,,,,72.6466659746343,23.063792008976975,52.55079834698792,46.42239278751178,48.08882326770215,48.08882326770215,73.78806473166338,,2025-11-30
SYN0002.X,2024-12-31,91425105.84584516,-178791151.7600423,1300491928.1699452,592317596.4049268,1170527102.1188562,1334748255.298918,1437.0,82.48350835244314,45.73004053876835,31.0196986702143,14.710341868554051,885.1017599206612,Reported,0.5001912780486714,1212.5263418979534,1221.8650933660906,,,,,72.6466659746343,23.063792008976975,52.55079834698792,46.42239278751178,48.08882326770215,48.08882326770215,73.78806473166338,,2024-11-30
SYN0002.X,2023-12-31,89364554.67896406,-174761533.05762205,1271181268.5287259,578967863.8216875,1144145606.972394,1304665522.011345,1437.0,82.48350835244314,41.06434671055691,27.835213026328592,13.22913368422832,794.7975797811318,Reported,0.4595149257787689,1088.8160498604682,461.77741477745093,,,,,72.6466659746343,23.063792008976975,52.55079834698792,46.42239278751178,48.08882326770215,48.08882326770215,73.78806473166338,,2023-11-30
SYN0002.X,2022-12-31,83687443.88489932,-163659361.85257408,1190426242.9293413,542187456.6353424,1071460845.1150876,1221783323.9825752,1437.0,82.48350835244314,41.232472011389405,26.86957470227547,14.362897309113933,798.0516333070166,,0.4926960377484949,1093.2738713186864,1228.391033018114,,,,,72.6466659746343,23.063792008976975,52.55079834698792,46.42239278751178,48.08882326770215,48.08882326770215,73.78806473166338,,2022-11-30
SYN0002.X,2021-12-31,76680157.07589975,-149955895.30798575,1090749902.9441159,496789212.4481828,981745672.8287795,1119481404.2181985,1437.0,82.48350835244314,47.744369361732744,32.75930617015815,14.985063191574598,924.0889544488012,Reported,0.622643082414063,1265.9360203131305,2450.4929918631683,,,,,72.6466659746343,23.063792008976975,52.55079834698792,46.42239278751178,48.08882326770215,48.08882326770215,73.78806473166338,,2021-11-30
SYN0003.X,,,-74742733.32591197,4292198768.0780997,1970412788.6445127,1768596378.166567,1739024094.4760659,1254.0,53.89143042446479,552.2264031421461,514.8634635723159,37.362939569830125,52795.84569028558,Reported,,123692.90814168645,120565.76779052753,239.00938199576026,187.89306431309566,2.9784117709418316,236.03097022481845,75.22585610230257,0.0,86.0667240480098,37.9591318236927,67.94128917258321,67.94128917258321,100.0,,2025-11-30
